"","mean","se_mean","sd","10%","90%","n_eff","Rhat"
"phi[1]",0.78192596555,0.00280830873297443,0.175680225117875,0.5360579,0.9568234,3913.41637210929,1.0012332696214
"phi[2]",0.2417126455375,0.00297161830966144,0.157138846086042,0.08092899,0.4558596,2796.28265071481,1.00045388110799
"phi[3]",0.42913704895,0.00236118608659929,0.14746920622677,0.2608467,0.6331328,3900.69734120618,0.99975523560151
"phi[4]",0.245456385975,0.00176082436148934,0.124969411207567,0.1032939,0.4138757,5037.0396669612,0.999773465684457
"phi[5]",0.252356611262,0.0357928812652256,0.391929342668087,0.007686124,0.9773182,119.900843604385,1.02897158962167
"phi[6]",0.3683108826575,0.0077379885008141,0.321351619606761,0.04071295,0.8832353,1724.66530267651,1.00191697966311
"phi[7]",0.76785624,0.00168940194447795,0.120429620247071,0.6068628,0.9094343,5081.60208198017,1.00063410888954
"phi[8]",0.65799555175,0.00154357221793035,0.119005165457791,0.5038394,0.8141624,5943.98518627254,0.99947610878442
"phi[9]",0.596408651375,0.00259639525394416,0.188436232575456,0.3387728,0.840791,5267.2897872619,1.00012816204596
"phi[10]",0.674332001575,0.00254075680753746,0.183212814916741,0.4175358,0.8962648,5199.7863421499,0.999134284558716
"phi[11]",0.6332961446425,0.00608097958184566,0.31653367998857,0.09487669,0.9721891,2709.52250980672,1.00302362261373
"phi[12]",0.810119298,0.00174939323026545,0.12914355286954,0.6357939,0.9462547,5449.67467204998,1.00075142685913
"phi[13]",0.638666372375,0.00256233924999495,0.181345010832646,0.3920094,0.8746308,5008.84929770821,1.00221606303183
"phi[14]",0.6431390568425,0.00534555106252096,0.264655294577266,0.2168113,0.9436131,2451.18566754985,1.00074947645781
"phi[15]",0.8482722102325,0.00279640669272654,0.150791127890416,0.6574365,0.978028,2907.7088185619,1.00033881592263
"phi[16]",0.88542932275,0.00111517155957476,0.0788933249798592,0.7781025,0.9667535,5004.92011300013,1.00163673707534
"phi[17]",0.56768007675,0.00441624661308695,0.272787212299689,0.150173,0.9226972,3815.41146617394,1.00144490807939
"phi[18]",0.23279421994,0.00354843610076862,0.184056098835396,0.05913955,0.4975266,2690.45942876437,1.00050155777571
"phi[19]",0.511855328175,0.0034455457520359,0.229526377129324,0.2003607,0.8350691,4437.61030451305,1.00000359787521
"phi[20]",0.765906411975,0.0021707663056403,0.157797995494817,0.5503204,0.9374934,5284.1704776371,1.00100606709934
"phi[21]",0.6287000775,0.00401139646749382,0.251674261150775,0.2239547,0.920149,3936.28403865963,1.00086005620252
"phi[22]",0.76216163855,0.00195207485774361,0.146217858393383,0.5586177,0.9256332,5610.58183790275,1.00081259773501
"phi[23]",0.58202919315,0.00208862674045013,0.129045617125788,0.418862,0.7531811,3817.37521869075,1.00035868125643
"phi[24]",0.538703305275,0.00199847111362717,0.180945394964856,0.3006037,0.7774098,8197.83776158911,0.999454358569258
