"","mean","se_mean","sd","10%","90%","n_eff","Rhat"
"phi[1]",0.165543567705,0.00146820461843528,0.0963839611269094,0.05098322,0.2929971,4309.59411658335,1.00136496007296
"phi[2]",0.0388040451985,0.000823942651489628,0.0457208198556391,0.007899879,0.0826556,3079.17271276237,1.00019758383894
"phi[3]",0.2199580462275,0.00220842950868122,0.15015317918976,0.06287766,0.4249834,4622.76675037847,0.999775298675007
"phi[4]",0.47387077765,0.00314256054683719,0.209217915386235,0.2024577,0.7661572,4432.31311876982,0.999560428429363
"phi[5]",0.104307290908425,0.0220506791533353,0.265439400915613,0.002245439,0.2702931,144.906156295536,1.04942682064057
"phi[6]",0.725434348455,0.00336064009325291,0.167153246986288,0.5123516,0.9115309,2473.91985363824,1.00221802145917
"phi[7]",0.3339520840875,0.0119810476180993,0.198212833984663,0.08937383,0.6070575,273.699468122638,1.01719758652553
"phi[8]",0.2506011795825,0.00219464014980472,0.152116599151987,0.08052223,0.4558992,4804.26079352494,1.00028301972045
"phi[9]",0.37313251585,0.00205941219454571,0.147402522647938,0.1981652,0.5812358,5122.98721618362,0.99943027367667
"phi[10]",0.104662254675,0.000984634109971168,0.0674150741084689,0.0373464,0.1907988,4687.74823792562,1.00130313583832
"phi[11]",0.5648998175,0.00212279827667903,0.162127598578892,0.3509379,0.7835476,5833.06004775523,1.00031548587524
"phi[12]",0.5662948110575,0.017820476510729,0.29383033172403,0.05190328,0.898638,271.865829780492,1.02497246047264
"phi[13]",0.732077869040375,0.297624986266658,0.42186967775866,0.00155103,0.9962428,2.0091753703858,14.8630671349798
"phi[14]",0.1203457949675,0.00114590316516901,0.0719844141255826,0.04190776,0.2166692,3946.21833978758,1.0015015150625
"phi[15]",0.378387147775,0.00390825961958813,0.191696630547038,0.1876773,0.6907207,2405.81455317455,0.99981950983856
"phi[16]",0.149447762025,0.00133502722549272,0.0822554672097178,0.05171885,0.2529602,3796.20189892845,1.0007502430399
"phi[17]",0.72899273749055,0.2965626695298,0.420615319370735,0.001466864,0.9954062,2.01157953068116,13.0294435168696
"phi[18]",0.177003895125,0.00106922946219205,0.0798462495046671,0.07962338,0.2858456,5576.57065266792,1.00410959035521
"phi[19]",0.0965368338725,0.000763987554651676,0.0517392270091444,0.03832094,0.1646723,4586.35116071494,1.0028474939531
