"","mean","se_mean","sd","10%","90%","n_eff","Rhat"
"lambda[1]",6.389072495,0.0462360326009521,2.49707528241169,4.053887,8.953346,2916.76976155165,1.00064764207918
"lambda[2]",23.368915135,0.174008012546427,10.9679099780546,12.79729,36.35572,3972.91488605605,1.00102335397131
"lambda[3]",15.88641696,0.0669616071347123,4.69338182851955,10.1996,22.10903,4912.69766701389,0.999858124291104
"lambda[4]",24.0164963125,0.150854869109435,9.34337311540216,14.64526,35.17665,3836.08939807435,1.00074716313504
"lambda[5]",34.97454582075,1.51930776916871,32.7054824518645,2.189802,74.19023,463.393142494977,1.00298118851476
"lambda[6]",18.07161224,0.349721705033596,16.5590490425481,4.676518,39.55711,2241.94838877527,1.00110122877062
"lambda[7]",10.9853875825,0.0358258092843249,2.91156988936177,7.457909,14.75522,6604.84179508759,0.999642883130633
"lambda[8]",13.493831585,0.0506020354949157,3.59197791238082,9.203909,18.19222,5038.84896621866,1.0005623859077
"lambda[9]",11.491289605,0.0728233638155573,4.66950405633512,6.939189,16.74712,4111.49761355172,0.999618617185708
"lambda[10]",8.076496285,0.0428786462224488,2.51911924394688,5.385967,11.01824,3451.55915240017,0.999505478150907
"lambda[11]",9.48000989475,0.235993465374895,11.2394631585341,2.849184,19.96463,2268.25136563707,1.00136816878823
"lambda[12]",7.1314111725,0.0244861786139305,1.95239088798778,4.849486,9.649039,6357.57537640813,0.999394373182251
"lambda[13]",12.194825525,0.0571875971612561,4.19276501750144,7.310381,17.78794,5375.23366123999,1.00046199170728
"lambda[14]",8.691995575,0.254687612058478,9.60597826787276,3.796178,13.07304,1422.55005425552,1.00145818968659
"lambda[15]",5.00402809,0.0711244391994835,2.8871068604756,2.874861,7.138215,1647.73742995541,1.0037182637257
"lambda[16]",6.21262117,0.0226905802660564,1.7117687700492,4.141331,8.394861,5691.13638010388,1.00032502529323
"lambda[17]",10.56277264,0.225342881458108,9.8400976535998,4.25995,18.14607,1906.82628605267,1.00141153154351
"lambda[18]",21.6500259225,0.325562229987615,15.9580910490023,10.09809,36.39424,2402.66846361415,0.999807104517953
"lambda[19]",14.1742815625,0.111534694311965,6.91393866398965,7.687098,22.43881,3842.65223679523,1.00015563122398
"lambda[20]",8.0145698,0.034307467714099,2.50806801030426,5.240161,11.17887,5344.42874532713,0.999577802779506
"lambda[21]",9.592780615,0.133716468403388,6.39438204245721,5.074642,15.48121,2286.79568925322,1.00302844703478
"lambda[22]",8.118763855,0.0276505153711152,2.24065047693924,5.50165,11.04402,6566.61826080278,0.999826223861458
"lambda[23]",16.33973133,0.063347238348221,4.32113548264875,11.11301,21.98971,4653.07865240379,0.999353743994299
"lambda[24]",12.9350319775,0.0560544130143786,4.26143282471051,8.301211,18.0849,5779.51872820958,1.00012164947185
"lambda[25]",19.190824255,0.101851923505954,6.31562098913205,12.3028,27.07407,3844.9761332535,0.99998409841164
"lambda[26]",5.22159868075,0.058626631522274,2.86819177163009,3.059966,7.465974,2393.46172759072,0.999932805342656
"lambda[27]",9.1503256165,2.38024799720348,20.9912074918962,1.324949,31.07148,77.7732819744272,1.06707173018324
"lambda[28]",12.398123588,1.14950274610995,22.1675319613411,1.835088,41.79867,371.890136924524,1.01922113604913
"lambda[29]",38.205382502,6.82690063181761,44.7557280075513,1.059916,94.56294,42.9783846645582,1.06179961724279
"lambda[30]",7.72610515,0.134828717494915,6.31185056420464,3.982,12.54715,2191.53600163761,1.00453453509604
"lambda[31]",5.398979242,1.03736894614428,14.3890806193438,1.622021,4.764849,192.397580131381,1.0204145544527
"lambda[32]",7.4359665925,0.377353493840209,9.86123400360991,3.257986,9.116255,682.913626320018,1.00290333880858
"lambda[33]",9.176521205,0.0343673004866329,2.71150971832523,6.003205,12.67841,6224.88726213162,0.999574444606282
"lambda[34]",24.3770726085,0.341807179098495,16.9073182652228,7.095374,45.70841,2446.73590779559,1.00022771726366
"lambda[35]",22.9891485475,0.115291582304866,7.71582107674017,14.84499,32.63446,4478.87659930691,1.00059607021681
