"","mean","se_mean","sd","10%","90%","n_eff","Rhat"
"lambda[1]",33.3243630725,0.609825671890932,23.0335084774023,16.84808,54.1323,1426.62156333056,1.0010562682304
"lambda[2]",70.740694515,2.48412663676372,62.818214937482,21.13894,138.6051,639.475218485272,1.01453015401946
"lambda[3]",30.5192443875,0.393558446062338,20.8853427786267,13.40723,51.9721,2816.20808334756,1.00183704025541
"lambda[4]",14.3115992775,0.166458096428071,8.33275580102867,7.635702,21.56793,2505.92149594412,1.00047449362242
"lambda[5]",97.77563184175,4.02647027560355,113.120536980736,7.597262,204.375,789.285130906548,1.01178868379859
"lambda[6]",7.6598177425,0.235771564856708,8.27269676953113,4.421016,10.23797,1231.15110630199,1.0003370593407
"lambda[7]",17.4093859675,0.628252944931082,21.6332993357546,7.661551,25.16503,1185.70445901509,1.00269969536451
"lambda[8]",24.72038485,0.301152197596549,15.0344596771687,12.42391,39.1751,2492.31869905123,1.00167717601038
"lambda[9]",20.8238172325,0.0949789096377241,6.76494749034684,12.90393,29.51467,5073.11258828361,0.999664019364416
"lambda[10]",50.78808762,0.677017006686843,33.7635577710286,24.80571,83.98613,2487.12292157917,1.00715781739378
"lambda[11]",11.677268985,0.0465881544596912,3.59954188409926,7.557193,16.30623,5969.57550107495,1.00084027305512
"lambda[12]",14.58589622,1.03730908901115,26.8391788783151,4.322089,29.93311,669.456069204229,1.00661310630278
"lambda[13]",32.72411400925,39.8808587013362,72.6536450180737,0.6609836,118.9739,3.31883616296143,1.5775010387199
"lambda[14]",41.253309885,0.46685131188414,23.5644568856779,21.55997,66.06873,2547.75523173947,1.00739209181703
"lambda[15]",17.7328226775,0.107649073797153,7.04654240291142,9.142937,26.96358,4284.80975659993,0.999598130345548
"lambda[16]",32.172217785,0.461112313645625,21.0940828909826,18.03048,48.12553,2092.70425243032,1.00170657283906
"lambda[17]",32.88625151825,39.845635102006,71.4121349004906,0.7224057,120.5657,3.21205169700436,1.6156864579283
"lambda[18]",47.558729975,0.623342985077876,21.9783125648905,27.49356,72.42686,1243.1814980222,1.01269936996472
"lambda[19]",49.132695525,0.526826898467384,25.5734314752274,26.88139,77.71108,2356.36265156833,1.00855282610694
"lambda[20]",53.67363362,0.884881378225619,33.9998649105518,24.37173,90.92308,1476.3328095975,1.01193244769415
